,GroupId,SubGroupId,Categories,Q&A
0,0,0,Web Formları,"Web sitesi üzerinden yaptığım başvuruyu nasıl takip edebilirim?
Kredi kartı başvurunuzu web sitesinden Kredi Kartı Başvuru Sorgulama adımından hemen sorgulayabilirsniz. Başvurunuz varsa hemen sorgulamak için tıklayınız."
1,0,0,Web Formları,"Kredi kartı başvurumu nereden yapabilirim?
Türkiye'nin en geniş kart portföyü olan World'e sahip olmak için şubeye gitmeden internetten, SMS ile veya Yapı Kredi Telefon Bankacılığı üzerinden başvuru yapabilirsiniz. Kredi kartına hemen başvurmak için tıklayınız.
Diğer başvuru kanalları hakkında detaylı bilgi için tıklayınız."
2,0,0,Web Formları,"Web sitesi üzerinden yabancı uyruklu müşteriler şifre belirleyebilir mi?
Evet, yabancı uyruklu müşterilerimiz bankamızda kayıtlı Yabancı Kimlik Numaralarını kullanarak şifre belirleyebilirler."
3,0,0,Web Formları,"Web sitesinden sadece yeni kredi kartı için mi şifre belirleyebilirim?
Hayır, sadece yeni kartınız için değil, şifresini unuttuğunuz ya da değiştirmek istediğiniz kartınız için de şifre belirleme işlemi yapabilirsiniz."
4,0,0,Web Formları,"Kredi kartı şifremi nasıl belirleyebilirim?
Bireysel veya Ticari kredi kartlarınız için kredi kart şifrenizi Yapı Kredi Web Sitesi, Bireysel İnternet Şubesi, Mobil Şube, Nuvo İnternet Bankacılığı ve SMS aracılığı ile belirleyebilirsiniz. Detaylı bilgi için tıklayınız.
Belirlediğiniz şifre ile www.yapikredi.com.tr üzerinde yer alan ""Kart İşlemlerim""e üye olabilirsiniz. Hesap özeti görüntüleme, kart borcu ödeme gibi kart işlemleriniz için Kart İşlemlerim adımından internet şubesi ve mobil şubeye giriş yapabilirsiniz."
5,0,0,Web Formları,"Aynı gayrimenkul ilanı için 1 den fazla başvuru yapmam mümkün müdür?
“SATILACAK GAYRİMENKULLER” listesindeki her bir taşınmaz için, ilgili ilan satırının “ayrıntılar” başlığı altında yer alan “teklif bedeli” alanını doldurarak satın alım başvurunuzu Bankamıza aktarmış olacaksınız. Bankamızın Emlak Alım Satım Yönetimi, belirttiğiniz iletişim bilgilerini kullanarak, en kısa sürede sizinle irtibata geçecek ve teklifiniz hakkında olumlu/olumsuz kararımızı bildirecektir. Bankamızın satış konusundaki değerlendirmesini beklemeksizin, aynı taşınmaz için aynı ya da farklı teklif bedelleriyle internet üzerinden 1 kereden fazla adette başvuru yapmanız, karışıklığa yol açabileceği gibi, satın alma başvurunuzun ciddiyetinin şüpheyle karşılanmasına sebep olabilecektir. Öte yandan, teklifiniz Bankamızın Emlak Alım Satım Yönetimi tarafından değerlendirilerek, teklif bedelinizin yeterli bulunmadığı yönündeki Bankamız kararı tarafınıza iletildiyse, aynı gayrimenkul için bir önceki teklif bedelinizin üzerinde olmak kaydıyla yeniden başvuru yapabilirsiniz. (Bu durum, gayrimenkulün başka bir teklif sahibine satışının gerçekleşmemiş olması, internet ilanının yayımlanmasına devam ediliyor olması durumunda geçerli olacaktır.)"
6,0,0,Web Formları,"Başka kişiler tarafından verilen teklifler hakkında bilgi alabilir miyim?
Tarafımıza ulaşan teklifler ile ilgili bilgi verilmesi mümkün değildir."
7,0,0,Web Formları,"Burada belirtilen fiyatın üzerine KDV eklenecek mi?
Hayır. Bankamız KDV mükellefi olmadığından satış bedeline KDV ilave edilmeyecektir."
8,0,0,Web Formları,"Gayrimenkuller ile ilgili daha detaylı bilgi alabilir miyim?
Gayrimenkullerimiz ile ilgili bilgilere internet sitemizde yer verilmiştir. Öte yandan, söz konusu taşınmazlar ile ilgili olarak internet sitemizde yayınlamakta olduğumuz “tapu kaydı bilgileri”nden faydalanarak , kendi imkanlarınızla, ilgili tapu ve belediye dairelerinden, kapsamlı araştırma yapmanız mümkündür ve tavsiye edilir. Taşınmaz mallar ile ilgili olarak Bankamızca internet sitesinde yayınlanmakta olan tüm ilanlar, taahhüt içermeyip, genel bilgi niteliğindedir. İleride, ilan edilen durum ile mevcut durum arasında ortaya çıkabilecek uyuşmazlıklardan Bankamız sorumlu olmayacaktır."
9,0,0,Web Formları,"Vadeli teklif vermek veya ödemenin taksitlere bölünmesi mümkün mü?
Bankamız gayrimenkul satışları peşin ödemeli olarak yapılmakta ve teklif bedelinin tamamının kabul bildirimini takip eden 15 gün içerisinde ödenmesi gerekmektedir. Diğer taraftan, ödemelerinizin zamana yayılmasını teminen, konut kredisi ve benzeri ihtiyaçlarınız ile ilgili başvurularınızın kredi prosedürlerimiz çerçevesinde şubelerimiz tarafından değerlendirileceği tabiidir"
10,0,0,Web Formları,"Gayrimenkulün fiyatı en son ne kadar olur, yetkililerle pazarlık edebilir miyim?
İlan edilen muhammen değerler, gayrimenkullerin asgari teklif bedelleri olup bu tutarların üzerindeki teklifler tercih edilecek, altındaki teklifler ise sadece bankanın gerek göreceği istisnai durumlarda dikkate alınacaktır. Bu nedenle teklif sahiplerinin alıcı olmak istedikleri gayrimenkuller için ödeyebilecekleri en yüksek fiyatı teklif etmeleri önerilir."
11,0,0,Web Formları,"İlgilendiğim gayrimenkulü nasıl görebilirim?
Gayrimenkul ile ilgili bilgiler ve fotoğraflar internet sitemizde yer almaktadır. “SATILACAK GAYRİMENKULLER” listesindeki her bir taşınmaz için, ilgili ilan satırının “ayrıntılar” başlığı altında yer alan “teklif ver” butonuna basarak ve “Gayrimenkul hakkında görüşmek istiyorum” seçeneğini işaretleyerek size ulaşmamızı sağlayacak bilgileri Bankamıza aktarmış olacaksınız. Bankamızın Emlak Alım Satım Yönetimi, belirttiğiniz iletişim bilgilerini kullanarak, en kısa sürede sizinle irtibata geçecek ve uygun görülmesi durumunda gayrimenkulü görmeniz için yardımcı olacaktır"
12,0,0,Web Formları,"Gayrimenkul hangi yöntem ile satılacaktır?
Gayrimenkuller teklif toplama yöntemi ile satılacaktır. Satışın en yüksek teklif sahibine yapılması esastır."
13,0,0,Web Formları,"Ödeme Merkezi’nden hangi kurumlara ait ödemeleri gerçekleştirebilirim?
Elektrik, Su, Doğalgaz, Telekom, Cep Telefonu ve diğer kategorilerine ait toplamda 300’e yakın kurum faturasını ödeyebilirsiniz. Ayrıca Motorlu Taşıtlar Vergisi Ödemelerinizi de gerçekleştirebilirsiniz."
14,0,0,Web Formları,"Ödeme Merkezi’nden hangi kredi kartlarıyla işlem yapabilirim?
Fatura Ödeme işlemlerinizi tüm bankalara ait 3 Boyutlu Güvenlik özellikli kredi kartlarıyla yapabilirsiniz. (American Express kartlar ile ödeme yapılamamaktadır.) Motorlu Taşıtlar Vergisi Ödemelerinizi ise Yapı Kredi kredi kartları ile gerçekleştirebilirsiniz."
15,0,0,Web Formları,"Fatura Ödeme işlemlerinden ücret alınıyor mu?
Kredi kartından fatura ödemeleri için alınan işlem ücretlerini Ürün ve Hizmet Ücretleri sayfamızda yer alan Kredi Kartı İşlem Ücretleri > Anlaşmalı Kurum Fatura /SGK Prim Ödemeleri başlığı altından inceleyebilirsiniz. Ayrıca işleminizin “Onay” adımında da alınacak ücret tutarını görebilirsiniz"
16,0,0,Web Formları,"Kartımın 3 Boyutlu Güvenlik Sistemi kaydı bulunmuyor, ne yapmalıyım?
Fatura ödeme işlemleri 3 Boyutlu Güvenlik Sistemi ile yapılmaktadır. Bankamıza ait kredi kartınız için 3 Boyutlu Güvenlik Sistemi kaydınız bulunmuyor ise hemen kayıt olmak için tıklayınız. Yurt içi diğer bankalara ait kredi kartlarınızın 3DS üyeliği için ilgili bankalarla irtibata geçebilirsiniz."
17,0,0,Web Formları,"Yaptığım fatura ödeme işlemine ait dekontumu nasıl alabilirim?
İşleminiz sonunda açılan ekran üzerinden referans numarasını alarak ya da fatura ve kredi kartı bilgileriniz ile şubelerimize başvurarak dekontunuzu alabilirsiniz."
18,0,0,Web Formları,"Ödeme Merkezi’nden hangi saatler arasında işlem yapabilirim?
Ödeme Merkezinden 23.15 – 01.00 aralığı dışındaki tüm saatlerde faturalarınızı ödeyebilirsiniz. İşlem saatleri ile ilgili detaylı bilgi için tıklayınız."
19,0,0,Web Formları,"Ödeme Merkezi üzerinden yaptığım fatura ödemelerinde limit bulunuyor mu?
Yapı Kredi Bankası kredi kartları ile tüm kanallarımızdan 30 gün içerisinde en fazla 50 adet fatura için ödeme işlemi gerçekleştirebilirsiniz. Başka banka kredi kartı ile ise tutarı en fazla 1.999,99TL olan faturalar ödenebilmektedir. Ayrıca aynı başka banka kredi kartı ile bir takvim ayı içerisinde en fazla 20 adet fatura ödemesi gerçekleştirebilirsiniz."
20,0,0,Web Formları,"Ödememi gerçekleştirdim, fakat ödeme yaptığım kuruma yansımamış ne yapmalıyım?
Ödemeniz web ödeme merkezi üzerinden gerçekleşti ve kart hareketlerinize yansıdı ise ödemenizin kontrolü için ödeme yaptığınız kurum ile irtibata geçebilirsiniz."
21,0,0,Web Formları,"Başka banka kredi kartı ile ödeme yaparken işlem başarısız ekranı açılıyor, ne yapmalıyım?
Başka banka kredi kartınız ile ilgili aldığınız hatalar konusunda, kartınızın ait olduğu banka ile iletişime geçebilirsiniz."
22,0,0,Web Formları,"Yaptığım ödemenin iptalini nasıl yapabilirim?
Kredi kartınız ile yaptığınız ödemenin iptali için ödemesini yaptığınız kurum ile görüşebilirsiniz."
23,0,0,Web Formları,"Abone No / Müşteri No / Sicil No gibi fatura bilgilerini hangi formatta girmeliyim?
İlgili bölümün sağında yer alan soru işareti (?) ikonuna tıklayarak Abone No / Müşteri No / Sicil No bilgilerinin giriş formatını kontrol edebilirsiniz."
24,0,1,Mobil Bankacılık,"ATM’den Akıllı Rehber kayıtlarıma ulaşıp işlem yapabilir miyim?
Havale ve fatura ödeme işlemlerinde Akıllı Rehber kayıtlarınıza ulaşıp işleminizi gerçekleştirebilirsiniz."
25,0,1,Mobil Bankacılık,"Mobil Bankacılık nedir?
Yapı Kredi Mobil Bankacılık uygulaması ile mobil cihazınızına uygun bir bankacılık deneyimi sunuyoruz.
Cihazınıza uygun olarak hazırlanmış uygulamamızı, uygulama marketinden indirerek bankacılık hizmetimizi kullanmaya başlayabilirsiniz.
Yapı Kredi Mobil Bankacılık uygulamaları ile;
Mobil Şube ile, dilediğiniz yer ve zamanda bankacılık işlemlerinizi gerçekleştirebilir,
Akıllı Cep ile, İnternet/Mobil şube giriş ve işlem onaylarında kullanılacak tek kullanımlık şifre üretebilir,
Bireysel Kredi, Fon, Döviz Hesaplama, Faiz ve Kur Fiyatlarını takip etme gibi Finansal Hizmetlerden ve Ürün-Kampanya bilgilerine erişim, en yakın Yapı Kredi Şube ve ATM bilgilerine erişebilme gibi kolaylıklardan yararlanabilirsiniz."
26,0,1,Mobil Bankacılık,"Yapı Kredi Mobil'i kullanmak için nasıl şifre alabilirim?
Bireysel Tek Şifre'niz ile Yapı Kredi Mobil'e giriş yapabilirsiniz. Yapı Kredi Mobil'i kullanabilmek için uygulamayı mobil cihazınıza indirdikten sonra Şifre Al / Şifremi Unuttum menüsünden şifre alabilir ve Yapı Kredi Mobil'e anında giriş yapabilirsiniz.
Yapı Kredi Mobil'i cihazınıza indirmek için tıklayınız."
27,0,1,Mobil Bankacılık,"Mobil Cihazıma uygulama yüklemeden mobil bankacılık işlemlerimi gerçekleştirebilir miyim?
Yapı Kredi Mobil Bankacılığı kullanabilmek için iPhone, iPad, Android, Blackberry, Android Tablet cihazlarına uygun hazırlanan uygulamalardan birini indirmeniz gerekmektedir."
28,0,1,Mobil Bankacılık,"Yurtdışında Mobil Bankacılığı kullanabilir miyim?
Mobil Cihazınızdan internete bağlanabildiğiniz her yerde Yapı Kredi Mobil Bankacılık uygulamalarından faydalanabilirsiniz."
29,0,1,Mobil Bankacılık,"Mobil Şube’de işlem limitleri nedir?
Yapı Kredi Mobil Şube işlem limitleri İnternet Şubesi işlem limitleriniz ile aynıdır. İnternet Şubesi işlem limitlerine buradan ulaşabilirsiniz. İnternet Şubesi'nde Güvenlik Ayarları – Kullanım Ayarları adımlarını takip ederek işlem yetki ve limitlerinizi kendi tercihlerinize göre yeniden düzenleyebilirsiniz."
30,0,1,Mobil Bankacılık,"Mobil Bankacılık uygulamalarından kimler faydalanabilir?
Yapı Kredi Mobil bankacılık uygulamaları içerisinde yer alan Finansal Hizmetlerden Yapı Kredi müşterisi olsun veya olmasın herkes faydalanabilirken; Mobil Şube ve Akıllı Cep hizmetlerini kullanabilmek için Yapı Kredi müşterisi olmak gerekmektedir."
31,0,1,Mobil Bankacılık,"Mobil Şube’den kimler faydalanabilir?
Bireysel İnternet Şubesi üyesi ve internete bağlanabilen cep telefonu veya tablet sahibi herkes Mobil Şube’den yararlanabilir ve bankacılık işlemlerini mobil cihazı üzerinden hiçbir zaman kısıtlaması olmaksızın kolayca yapabilir."
32,0,2,İnternet Şubesi,"İnternet/mobil şube şifremi belirlerken nelere dikkat etmeliyim?
Yeni bir Yapı Kredi İnternet/Mobil Şube şifresi aldığınızda harf kullanmanıza gerek kalmadan, sadece rakamlardan oluşan bir şifre belirleyebilirsiniz. Böylece hem şifrenizi daha kolay hatırlayabilecek hem de internet ve mobil şubeye çok daha hızlı girebileceksiniz. Aşağıdaki kuralları dikkate alarak Şifre Al/Şifremi Unuttum menüsünden hemen rakamlı şifrenizi oluşturabilirsiniz.
• Şifre 6 rakamdan oluşmalıdır.
• Girilen son 3 şifreden farklı olmalıdır.
• Yan yana 5'ten fazla tekrar eden rakamdan (Örn: 111111) oluşmamalıdır.
• Yan yana 5'ten fazla ardışık rakamdan (Örn: 123456) oluşmamalıdır."
33,0,2,İnternet Şubesi,"Yapı Kredi İnternet Şubesi için önerilen tarayıcılar nelerdir?
Yapı Kredi İnternet Şubesi; Microsoft Internet Explorer 9 ve üzeri, Google Chrome 11 ve üzeri, Mozilla Firefox 3.5 ve üzeri, Safari 5 ve üzeri tarayıcıları desteklemektedir. Belirtilen tarayıcıları kullanarak İnternet Şubemizde işlemlerinizi çok daha hızlı ve güvenli bir şekilde gerçekleştirebilirsiniz. Detaylı bilgi için tıklayınız ."
34,0,2,İnternet Şubesi,"Kredi kartımdan yaptığım harcamalar sonrası bekleyen provizyon işlemlerimi nasıl görüntüleyebilirim?
Kartlarım/Kart Bilgileri menüsünde yer alan Kredi Kartlarım başlığına tıklayın. Detaylarını görüntülemek istediğiniz kartınızı seçin. Sağ taraftaki İşlemler menüsünden ""Güncel Dönem İşlemleri""ni tıklayarak provizyonda bekleyen işlemlerinizi veya güncel dönem harcamalarınızı görüntüleyebilirsiniz."
35,0,2,İnternet Şubesi,"Kredi kartı borcuma yansıyacak olan Gelecek Dönem Taksitlerimi nasıl görüntüleyebilirim?
Bu bilgiye ulaşmak için Kartlarım menüsü altındaki Kredi Kartlarım başlığını tıklayın. Detaylarını görüntülemek istediğiniz kartınızı seçin. Sağ taraftaki İşlemler menüsünden Gelecek Dönem Taksitlerim'i tıklayın. Taksitlerinizin detayı ay bazında görüntülenecektir. Dilerseniz, incelemek istediğiz hesap özeti tarihine tıklayarak gerçekleştirdiğiniz taksitli işlemlerin taksit tutarı, taksit sayısı, kalan taksit tutarı gibi detaylarını da görüntüleyebilirsiniz."
36,0,2,İnternet Şubesi,"Favori Hesap nedir?
Favori Hesap Tanımlama ile sık kullandığınız bir hesabınızı favori hesap olarak tanımlayabilir, vadesiz hesaplarım menüsünde ve hesap seçimi yapmanız gereken işlemlerde hesabınızın en üstte görüntülenmesini sağlayabilirsiniz.

Favori Hesap tanımlamak için; İnternet Şubesi’nde Hesaplarım menüsünde yer alan Vadesiz Hesaplarım başlığını seçin. Açılan sayfada tanımlamak istediğiniz hesabı işaretleyin ve sağdaki işlemler menüsünden “Favori Hesap Tanımla” butonunu tıklayın. Daha önce Favori Hesap olarak tanımladığınız bir hesabınızın bu özelliğini iptal etmek için ise aynı ekrandan “Favori Hesap İptal”i seçmeniz yeterli."
37,0,2,İnternet Şubesi,"Akıllı Şifre Kullanım Ayarlarımı nasıl değiştirebilirim?
Akıllı şifre kullanım ayarlarınızı İnternet Şubemizden “Ayarlarım / Akıllı Şifre İşlemlerim / Akıllı Şifre Kullanım Ayarları” menüsünden rahatlıkla değiştirebilir, İnternet/Mobil Şube girişi ve işlem onaylama için sahip olduğunuz Akıllı Şifre ürünlerinden dilediğinizi seçebilirsiniz."
38,0,2,İnternet Şubesi,"Bilgilerim alanında eski adres ve bilgilerim var, bunları silebilir miyim?
Evet, güncel olmayan adres, e-posta, cep telefonu, sabit telefon/fax, sosyal medya bilgileri gibi bilgilerinizi ilgili kaydı seçerek sağ tarafta yer alan işlem menülerinden silebilirsiniz. Ancak; silmek istediğiniz adres ya da e-postaya tanımlı bir gönderiniz varsa, size silme işlemi sırasında bu gönderilerin taşınmasını istediğiniz adres/e-posta sorulur. Gönderilerinizi mevcut bir kaydınıza taşıyarak eski bilginizi silebilirsiniz.

İnternet şubesinde güvenlik sebebi ile cep telefonu numarası ekleme ve silme işlemi yapılamamaktadır. Ancak üzerinde herhangi bir gönderi tanımı yoksa cep telefonunuzu silebilirsiniz. Cep telefonu numaranız internet şubesine giriş için Akıllı SMS numarası olarak kullanılabilmektedir. Bu sebeple cep telefonu numaranızı size en yakın Yapı Kredi Şube veya ATM'sinden ekleyebilirsiniz."
39,0,2,İnternet Şubesi,"Bankanızdan kredi başvurusunda bulundum, internet şubenizden sonucunu öğrenebilir miyim?
Evet, Krediler/Başvuru İzleme menüsünden internetten, şubeden ve diğer tüm başvuru kanallarından yapmış olduğunuz kredi başvurularını izleyebilirsiniz."
40,0,2,İnternet Şubesi,"Kredi kartı borcumu ödedim, borcumun tamamının ödendiğini ya da kısmi ödeme yaptığımda ne kadar borcumun kaldığını nasıl görebilirim?
Kartlar/Kredi Kartlarım menüsüne girdiğinizde kredi kart(lar)ınızın listelendiği özet tabloda, orta sütunda “Kalan Hesap Özeti” borcu alanında hesap özetinden kalan bir borcunuz varsa görüntüleyebilirsiniz. Hesap özeti borcunuzun tamamını ödediyseniz alttaki bakiye “0” sıfır olarak görünecektir. Güncel Borç alanında ise bir sonraki hesap kesim tarihinize yansıyacak borcunuzu takip edebilirsiniz.

Hesap özeti borcunuzun bir kısmını ödediyseniz ve kalanını ödemek istiyorsanız Borç Ödeme/Kendi Kredi adımında da kalan bakiyelerinizi görerek ödeyebilirsiniz."
41,0,2,İnternet Şubesi,"İnternet Şubesi üzerinden hangi ürünlere başvurabilirim?
Kartlar (asıl kart ve ek kart)
Hesap Açılışı
Bireysel İhtiyaç ve Konut Kredisi
Bireysel Emeklilik Sistemi (BES)
Kartopu
Hızlı Geçiş Sistemi (HGS)
Opet Otobilim
Paro Programı
İdeal Hayat Sigortası
Zorunlu Deprem Sigortası (DASK)
Eşyam Sigortası
Kişisel Güvence Sigortası"
42,0,2,İnternet Şubesi,"İnternet Şubesi’nde birden fazla dekontu aynı anda görüntüleyebilir / yazdırabilir miyim?
Evet. Birden fazla dekontunuzu görüntülemek isterseniz, ilgilendiğiniz kayıtları seçtikten sonra sayfanın en altında yer alan Toplu Dekont’a tıklayarak dekontlarınızı aynı anda görüntüleyebilir, kaydedebilir ve yazdırabilirsiniz."
43,0,2,İnternet Şubesi,"İnternet Şubesi içerisinde arama yapabilir miyim?
Evet. Ana menünün sağında yer alan “BUL” butonuna tıklayarak açılan arama kutusunda işlem, isim, kurum, hesap numarası vb. birçok bilgiyi arayabilirsiniz. Arama sonuçlarında yapabileceğiniz işlemler yanında Akıllı Rehber kayıtlarınız da listelenecektir"
44,0,2,İnternet Şubesi,"Akıllı Rehber’den nasıl kayıt silebilirim?
Ana sayfada ürün bilgilerinizin hemen altında bulunan Akıllı Rehber butonunu tıkladığınızda tüm Akıllı Rehber kayıtlarınız listelenecektir. Silmek istediğiniz kaydı işaretleyip sağdaki işlemler menüsünden ""işlem kaydını sil"" seçeneğine tıklayın. Çıkan pencerede onay butonuna tıkladıktan sonra kaydınız silinecektir."
